network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,p_connection_1
38,4,7,0,2,0,2,16,24,22,10,0.15
39,10,7,2,2,2,2,65,65,65,0,0.15
39,10,7,2,2,2,2,65,66,66,1,0.15
39,10,7,2,2,2,2,65,66,66,2,0.15
39,10,7,2,2,2,2,65,66,66,3,0.15
39,10,7,2,2,2,2,65,66,66,4,0.15
39,10,7,2,2,2,2,65,66,66,5,0.15
39,10,7,2,2,2,2,65,66,66,6,0.15
39,10,7,2,2,2,2,65,66,66,7,0.15
39,10,7,2,2,2,2,65,66,66,8,0.15
39,10,7,2,2,2,2,65,66,66,9,0.15
39,10,7,2,2,2,2,65,66,66,10,0.15
40,7,10,1,2,1,2,37,37,37,0,0.15
40,7,10,1,2,1,2,37,49,48,1,0.15
40,7,10,1,2,1,2,37,51,53,2,0.15
40,7,10,1,2,1,2,37,51,54,3,0.15
40,7,10,1,2,1,2,37,51,54,4,0.15
40,7,10,1,2,1,2,37,53,55,5,0.15
40,7,10,1,2,1,2,37,53,55,6,0.15
40,7,10,1,2,1,2,37,53,54,7,0.15
40,7,10,1,2,1,2,37,54,55,8,0.15
40,7,10,1,2,1,2,37,54,55,9,0.15
40,7,10,1,2,1,2,37,53,55,10,0.15
41,7,13,2,2,2,2,44,44,44,0,0.15
41,7,13,2,2,2,2,44,57,58,1,0.15
41,7,13,2,2,2,2,44,61,63,2,0.15
41,7,13,2,2,2,2,44,64,66,3,0.15
41,7,13,2,2,2,2,44,65,66,4,0.15
41,7,13,2,2,2,2,44,64,65,5,0.15
41,7,13,2,2,2,2,44,65,63,6,0.15
41,7,13,2,2,2,2,44,63,65,7,0.15
41,7,13,2,2,2,2,44,62,65,8,0.15
41,7,13,2,2,2,2,44,62,66,9,0.15
41,7,13,2,2,2,2,44,61,65,10,0.15
42,2,11,0,3,0,3,5,5,5,0,0.15
42,2,11,0,3,0,3,5,6,7,1,0.15
42,2,11,0,3,0,3,5,8,8,2,0.15
42,2,11,0,3,0,3,5,6,7,3,0.15
42,2,11,0,3,0,3,5,7,8,4,0.15
42,2,11,0,3,0,3,5,7,7,5,0.15
42,2,11,0,3,0,3,5,6,8,6,0.15
42,2,11,0,3,0,3,5,8,7,7,0.15
42,2,11,0,3,0,3,5,7,6,8,0.15
42,2,11,0,3,0,3,5,7,9,9,0.15
