network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,increase_support_level
45,10,8,5,3,4,1,61,66,66,2,0.25
45,10,8,5,3,4,1,61,66,66,3,0.25
45,10,8,5,3,4,1,61,66,66,4,0.25
45,10,8,5,3,4,1,61,66,66,5,0.25
45,10,8,5,3,4,1,61,66,66,6,0.25
45,10,8,5,3,4,1,61,66,66,7,0.25
45,10,8,5,3,4,1,61,66,66,8,0.25
45,10,8,5,3,4,1,61,66,66,9,0.25
45,10,8,5,3,4,1,61,66,66,10,0.25
46,6,12,0,3,0,3,33,33,33,0,0.25
46,6,12,0,3,0,3,33,43,44,1,0.25
46,6,12,0,3,0,3,33,46,46,2,0.25
46,6,12,0,3,0,3,33,49,47,3,0.25
46,6,12,0,3,0,3,33,48,49,4,0.25
46,6,12,0,3,0,3,33,46,49,5,0.25
46,6,12,0,3,0,3,33,48,49,6,0.25
46,6,12,0,3,0,3,33,47,49,7,0.25
46,6,12,0,3,0,3,33,47,47,8,0.25
46,6,12,0,3,0,3,33,48,49,9,0.25
46,6,12,0,3,0,3,33,44,49,10,0.25
47,2,10,1,3,1,3,6,6,6,0,0.25
47,2,10,1,3,1,3,6,7,10,1,0.25
47,2,10,1,3,1,3,6,8,8,2,0.25
47,2,10,1,3,1,3,6,9,10,3,0.25
47,2,10,1,3,1,3,6,11,9,4,0.25
47,2,10,1,3,1,3,6,9,8,5,0.25
47,2,10,1,3,1,3,6,9,8,6,0.25
47,2,10,1,3,1,3,6,10,8,7,0.25
47,2,10,1,3,1,3,6,10,9,8,0.25
